sa_finance1_cocode|sa_company_name|sa_finance1_year|sa_ann_rep_months|sa_fs_format|sa_sale_of_goods|sa_long_term_borrowings|sa_curr_portion_lt_borrowings|sa_gross_fixed_ast_addn|sa_gross_intangible_assets_tot_addn|sa_net_fixed_assets|sa_cf_net_frm_op_activity
248186|TATA CONSUMER PRODUCTS LTD.|20160331|12|INDAS|29040.1000|0.0000|3826.7000|382.3000|42.4000|1985.5000|1316.2000
248186|TATA CONSUMER PRODUCTS LTD.|20170331|12|INDAS|29859.8000|NA|NA|394.3000|49.1000|2137.9000|5069.0000
248186|TATA CONSUMER PRODUCTS LTD.|20180331|12|INDAS|31310.3000|NA|NA|407.8000|91.1000|2268.0000|1987.0000
248186|TATA CONSUMER PRODUCTS LTD.|20190331|12|INDAS|33317.0000|NA|NA|473.2000|50.4000|2419.0000|974.7000
248186|TATA CONSUMER PRODUCTS LTD.|20200331|12|INDAS|56074.9000|1218.2000|NA|62495.2000|61401.0000|64525.4000|7450.3000
248186|TATA CONSUMER PRODUCTS LTD.|20210331|12|INDAS|70870.6000|2153.0000|NA|2488.7000|464.2000|65713.5000|10642.3000
248186|TATA CONSUMER PRODUCTS LTD.|20220331|12|INDAS|78460.7000|2051.9000|NA|1550.2000|360.8000|65640.5000|11583.2000
248186|TATA CONSUMER PRODUCTS LTD.|20230331|12|INDAS|84082.7000|2014.5000|NA|1372.1000|614.1000|65495.5000|10192.7000
262869|VARUN BEVERAGES LTD.|20141231|12|IGAAP|22645.2000|14915.3000|NA|1751.6000|37.2000|17341.0000|3826.5000
262869|VARUN BEVERAGES LTD.|20151231|12|IGAAP|32890.3000|15030.7000|1828.8000|14675.2000|3000.9000|29161.8000|5102.2000
262869|VARUN BEVERAGES LTD.|20161231|12|INDAS|35199.6000|11231.2000|5184.0000|4306.7000|34.8000|29915.2000|7516.6000
262869|VARUN BEVERAGES LTD.|20171231|12|INDAS|33564.7000|16061.6000|5860.2000|6371.4000|826.7000|32780.0000|4995.6000
262869|VARUN BEVERAGES LTD.|20181231|12|INDAS|37136.9000|18359.2000|3806.6000|4112.3000|892.9000|33218.2000|7420.4000
262869|VARUN BEVERAGES LTD.|20191231|12|INDAS|54555.9000|22917.1000|4980.9000|25129.7000|434.2000|54017.6000|10668.9000
262869|VARUN BEVERAGES LTD.|20201231|12|INDAS|47601.0000|19623.1000|4616.5000|9160.9000|2.0000|52634.0000|7196.8000
262869|VARUN BEVERAGES LTD.|20211231|12|INDAS|63817.7000|17211.9000|8963.7000|1816.3000|39.4000|50116.1000|8678.7000
262869|VARUN BEVERAGES LTD.|20221231|12|INDAS|103023.2000|17650.0000|13013.0000|8802.8000|1.5000|57518.8000|15587.8000
281526|DEVI FISHERIES LTD.|20150331|12|IGAAP|8775.7000|10.6000|13.2000|54.3000|NA|270.6000|1055.9000
281526|DEVI FISHERIES LTD.|20160331|12|IGAAP|636.1000|16.2000|15.7000|71.9000|NA|279.9000|276.7000
281526|DEVI FISHERIES LTD.|20170331|12|IGAAP|11107.9000|34.9000|30.2000|80.4000|NA|292.1000|NA
281526|DEVI FISHERIES LTD.|20180331|12|INDAS|10506.5000|46.7000|45.6000|324.8000|NA|550.2000|-144.6000
281526|DEVI FISHERIES LTD.|20190331|12|INDAS|11682.1000|45.4000|58.2000|108.6000|NA|566.7000|1804.6000
281526|DEVI FISHERIES LTD.|20200331|12|INDAS|9067.8000|13.2000|39.4000|55.3000|NA|530.3000|93.1000
281526|DEVI FISHERIES LTD.|20210331|12|INDAS|11562.1000|14.4000|19.8000|94.2000|NA|551.8000|-254.2000
281526|DEVI FISHERIES LTD.|20220331|12|INDAS|18886.2000|50.0000|37.3000|443.7000|NA|891.2000|-220.8000
