ca_finance1_cocode|ca_company_name|ca_finance1_year|ca_ann_rep_months|ca_fs_format|ca_sale_of_goods|ca_export_incentives|ca_salaries_bonus_pf|ca_long_term_borrowings|ca_curr_portion_lt_borrowings|ca_gross_fixed_ast_addn|ca_gross_intangible_assets_tot_addn|ca_gross_fixed_ast_addn|ca_cf_net_frm_op_activity|ca_export_goods
176208|PLANT LIPIDS PVT. LTD.|20220331|12|INDAS|19760.7000|68.3000|466.7000|41.5000|NA|617.3000|26.3000|617.3000|-2900.8000|NA
210328|SANDHYA MARINES LTD.|20160331|12|IGAAP|3428.1000|NA|60.1000|119.4000|NA|NA|NA|NA|NA|NA
210328|SANDHYA MARINES LTD.|20170331|12|IGAAP|5222.9000|NA|92.6000|31.6000|NA|NA|NA|NA|-305.6000|NA
210328|SANDHYA MARINES LTD.|20180331|12|IGAAP|8073.5000|NA|152.3000|82.7000|NA|267.5000|NA|267.5000|NA|NA
210328|SANDHYA MARINES LTD.|20190331|12|IGAAP|8830.6000|NA|209.8000|45.6000|NA|838.0000|NA|838.0000|985.2000|NA
210328|SANDHYA MARINES LTD.|20200331|12|INDAS|10728.8000|738.8000|291.2000|90.0000|28.7000|206.8000|NA|206.8000|NA|8429.9000
210328|SANDHYA MARINES LTD.|20210331|12|INDAS|13726.7000|279.3000|342.2000|28.4000|9.8000|450.1000|NA|450.1000|NA|9814.1000
210328|SANDHYA MARINES LTD.|20220331|12|INDAS|21615.2000|867.0000|420.1000|397.2000|24.1000|NA|NA|NA|164.3000|NA
210328|SANDHYA MARINES LTD.|20230331|12|INDAS|21206.8000|612.4000|409.5000|48.8000|10.1000|398.3000|NA|398.3000|2628.9000|NA
23774|ASVINI FISHERIES PVT. LTD.|20170331|12|IGAAP|7629.8000|553.6000|372.9000|0.0000|2.9000|38.7000|NA|38.7000|261.7000|7515.0000
23774|ASVINI FISHERIES PVT. LTD.|20180331|12|IGAAP|8442.6000|732.4000|476.6000|NA|NA|427.0000|NA|427.0000|231.2000|8173.7000
23774|ASVINI FISHERIES PVT. LTD.|20190331|12|INDAS|9183.1000|705.2000|793.9000|15.3000|NA|530.0000|NA|530.0000|591.5000|8889.1000
23774|ASVINI FISHERIES PVT. LTD.|20200331|12|INDAS|11178.8000|1216.8000|997.0000|17.9000|NA|179.9000|NA|179.9000|675.4000|NA
23774|ASVINI FISHERIES PVT. LTD.|20210331|12|INDAS|9404.1000|396.8000|906.0000|18.4000|NA|53.2000|3.6000|53.2000|417.6000|NA
23774|ASVINI FISHERIES PVT. LTD.|20220331|12|INDAS|12598.7000|776.0000|1084.9000|23.8000|NA|433.3000|1.1000|433.3000|663.1000|NA
23774|ASVINI FISHERIES PVT. LTD.|20230331|12|INDAS|14260.6000|667.9000|1202.9000|30.5000|NA|429.8000|0.1000|429.8000|1945.0000|NA
245605|SYNTHITE INDUSTRIES PVT. LTD.|20160331|12|INDAS|12708.1000|NA|790.1000|406.0000|NA|302.6000|3.3000|302.6000|-659.5000|NA
245605|SYNTHITE INDUSTRIES PVT. LTD.|20170331|12|INDAS|15825.0000|NA|895.3000|845.4000|338.3000|1155.3000|534.3000|1155.3000|-246.5000|NA
245605|SYNTHITE INDUSTRIES PVT. LTD.|20180331|12|INDAS|15333.2000|NA|947.0000|528.4000|162.9000|502.8000|5.8000|502.8000|3516.6000|NA
245605|SYNTHITE INDUSTRIES PVT. LTD.|20190331|12|INDAS|14047.8000|NA|1041.1000|496.4000|51.9000|289.7000|2.0000|289.7000|1340.5000|NA
245605|SYNTHITE INDUSTRIES PVT. LTD.|20200331|12|INDAS|15294.2000|321.2000|1335.5000|478.9000|76.2000|1128.3000|0.2000|1128.3000|2150.4000|NA
245605|SYNTHITE INDUSTRIES PVT. LTD.|20210331|12|INDAS|17728.4000|5.4000|1377.1000|427.7000|87.5000|505.2000|2.7000|505.2000|1503.0000|NA
245605|SYNTHITE INDUSTRIES PVT. LTD.|20220331|12|INDAS|21479.2000|74.6000|1594.5000|390.4000|126.4000|1011.4000|55.8000|1011.4000|-916.4000|NA
245605|SYNTHITE INDUSTRIES PVT. LTD.|20230331|12|INDAS|23201.1000|197.4000|2274.3000|380.4000|118.1000|2100.7000|2.6000|2100.7000|1407.8000|NA
248186|TATA CONSUMER PRODUCTS LTD.|20160331|12|INDAS|65232.0000|275.0000|7529.5000|5041.2000|4413.7000|3553.8000|1723.9000|3553.8000|1159.8000|NA
248186|TATA CONSUMER PRODUCTS LTD.|20170331|12|INDAS|66729.7000|298.8000|7907.0000|4501.0000|162.3000|3660.8000|2634.0000|3660.8000|7412.0000|NA
248186|TATA CONSUMER PRODUCTS LTD.|20180331|12|INDAS|67006.8000|317.7000|7775.6000|6559.9000|114.0000|4621.5000|2562.7000|4621.5000|3555.8000|NA
248186|TATA CONSUMER PRODUCTS LTD.|20190331|12|INDAS|71526.6000|421.5000|7564.3000|7872.4000|242.0000|2499.6000|923.2000|2499.6000|2098.7000|NA
248186|TATA CONSUMER PRODUCTS LTD.|20200331|12|INDAS|95420.7000|408.2000|8507.4000|10866.3000|739.1000|72863.1000|63904.0000|72863.1000|10822.3000|NA
248186|TATA CONSUMER PRODUCTS LTD.|20210331|12|INDAS|115301.7000|188.1000|9322.2000|6766.4000|4860.4000|8641.1000|5290.6000|8641.1000|16563.7000|NA
248186|TATA CONSUMER PRODUCTS LTD.|20220331|12|INDAS|123381.0000|88.7000|10120.4000|5927.8000|562.8000|6779.4000|2374.5000|6779.4000|15158.1000|NA
248186|TATA CONSUMER PRODUCTS LTD.|20230331|12|INDAS|136534.6000|233.4000|10732.2000|5683.3000|645.9000|8925.8000|5066.3000|8925.8000|14612.9000|NA
261277|VADILAL INDUSTRIES LTD.|20160331|12|IGAAP|4567.3000|14.0000|232.6000|455.6000|221.8000|128.5000|14.2000|128.5000|635.4000|NA
261277|VADILAL INDUSTRIES LTD.|20170331|12|INDAS|4864.1000|14.9000|265.8000|343.9000|199.7000|201.7000|2.1000|201.7000|455.1000|417.0000
261277|VADILAL INDUSTRIES LTD.|20180331|12|INDAS|5470.4000|29.0000|371.7000|709.9000|174.3000|221.5000|3.1000|221.5000|166.0000|NA
261277|VADILAL INDUSTRIES LTD.|20190331|12|INDAS|5658.7000|50.6000|517.9000|579.9000|240.2000|282.9000|9.0000|282.9000|444.1000|NA
261277|VADILAL INDUSTRIES LTD.|20200331|12|INDAS|6028.5000|37.6000|603.1000|639.1000|187.4000|741.8000|3.5000|741.8000|666.2000|NA
261277|VADILAL INDUSTRIES LTD.|20210331|12|INDAS|4682.6000|58.6000|531.6000|674.7000|165.5000|179.3000|2.3000|179.3000|820.6000|NA
261277|VADILAL INDUSTRIES LTD.|20220331|12|INDAS|7010.5000|35.0000|667.1000|869.1000|224.9000|200.8000|1.5000|200.8000|320.2000|NA
261277|VADILAL INDUSTRIES LTD.|20230331|12|INDAS|10639.5000|69.0000|915.0000|1376.8000|298.0000|1473.5000|14.8000|1473.5000|394.8000|NA
262869|VARUN BEVERAGES LTD.|20151231|12|IGAAP|38948.3000|NA|3026.4000|15795.3000|2454.2000|15422.8000|3006.6000|15422.8000|5547.9000|NA
262869|VARUN BEVERAGES LTD.|20161231|12|INDAS|44905.0000|NA|3950.8000|12183.5000|5859.2000|7485.0000|46.8000|7485.0000|8257.8000|NA
262869|VARUN BEVERAGES LTD.|20171231|12|INDAS|44073.5000|NA|4312.2000|16913.7000|6089.8000|7143.7000|838.7000|7143.7000|6197.8000|NA
262869|VARUN BEVERAGES LTD.|20181231|12|INDAS|51113.1000|NA|5466.1000|19800.8000|4501.5000|9517.7000|938.9000|9517.7000|9997.9000|NA
262869|VARUN BEVERAGES LTD.|20191231|12|INDAS|85056.7000|NA|7646.8000|23553.8000|5946.4000|26799.7000|658.3000|26799.7000|13075.8000|NA
262869|VARUN BEVERAGES LTD.|20201231|12|INDAS|75706.1000|NA|8382.3000|20040.7000|5226.5000|11377.2000|7.7000|11377.2000|10119.9000|NA
262869|VARUN BEVERAGES LTD.|20211231|12|INDAS|91294.5000|NA|9482.0000|18446.0000|9000.8000|5013.7000|73.0000|5013.7000|12314.2000|NA
262869|VARUN BEVERAGES LTD.|20221231|12|INDAS|135195.7000|NA|11419.7000|18924.6000|13401.0000|15468.8000|1.5000|15468.8000|17900.4000|NA
281526|DEVI FISHERIES LTD.|20170331|12|IGAAP|11108.1000|NA|210.2000|165.4000|NA|303.8000|NA|303.8000|NA|NA
281526|DEVI FISHERIES LTD.|20180331|12|INDAS|10333.2000|911.7000|266.5000|294.6000|96.6000|655.0000|245.1000|655.0000|-8.8000|NA
281526|DEVI FISHERIES LTD.|20190331|12|INDAS|12610.6000|1152.1000|364.8000|344.2000|114.9000|1426.9000|NA|1426.9000|1044.4000|NA
281526|DEVI FISHERIES LTD.|20200331|12|INDAS|14741.3000|1212.0000|422.0000|412.5000|112.5000|349.0000|NA|349.0000|525.3000|NA
281526|DEVI FISHERIES LTD.|20210331|12|INDAS|15612.3000|649.3000|479.2000|209.4000|111.4000|154.0000|NA|154.0000|831.5000|NA
281526|DEVI FISHERIES LTD.|20220331|12|INDAS|21983.6000|808.4000|572.6000|252.9000|166.1000|892.0000|NA|892.0000|-1707.3000|NA
314421|CHOICE TRADING CORPN. PVT. LTD.|20160331|12|INDAS|3954.1000|135.7000|291.5000|154.2000|NA|217.0000|3.6000|217.0000|79.7000|3954.1000
314421|CHOICE TRADING CORPN. PVT. LTD.|20170331|12|INDAS|3606.6000|168.2000|281.5000|116.7000|NA|56.3000|3.4000|56.3000|71.6000|329.0000
314421|CHOICE TRADING CORPN. PVT. LTD.|20180331|12|INDAS|6130.4000|240.1000|291.9000|76.2000|NA|163.3000|0.7000|163.3000|-746.8000|NA
314421|CHOICE TRADING CORPN. PVT. LTD.|20190331|12|INDAS|9739.1000|294.0000|346.8000|57.0000|NA|82.1000|1.5000|82.1000|-412.3000|NA
314421|CHOICE TRADING CORPN. PVT. LTD.|20200331|12|INDAS|11142.3000|295.0000|312.3000|350.9000|NA|350.7000|0.9000|350.7000|437.4000|NA
314421|CHOICE TRADING CORPN. PVT. LTD.|20210331|12|INDAS|13416.2000|NA|405.7000|489.8000|NA|279.6000|2.1000|279.6000|-4.7000|NA
314421|CHOICE TRADING CORPN. PVT. LTD.|20220331|12|INDAS|15004.9000|NA|486.4000|383.5000|NA|171.8000|6.4000|171.8000|573.2000|NA
314421|CHOICE TRADING CORPN. PVT. LTD.|20230331|12|INDAS|17947.0000|NA|673.6000|421.8000|NA|1187.8000|7.6000|1187.8000|-567.1000|NA
328203|BIKAJI FOODS INTL. LTD.|20190331|12|INDAS|8901.0000|NA|537.2000|343.1000|106.9000|1071.1000|NA|1071.1000|638.5000|NA
328203|BIKAJI FOODS INTL. LTD.|20200331|12|INDAS|10476.8000|NA|632.0000|175.9000|135.1000|419.8000|0.3000|419.8000|868.7000|NA
328203|BIKAJI FOODS INTL. LTD.|20210331|12|INDAS|12746.6000|11.3000|663.9000|150.4000|NA|658.4000|7.9000|658.4000|1171.7000|NA
328203|BIKAJI FOODS INTL. LTD.|20220331|12|INDAS|15446.1000|8.8000|835.9000|569.2000|161.2000|1306.4000|4.9000|1306.4000|574.8000|NA
328203|BIKAJI FOODS INTL. LTD.|20230331|12|INDAS|18695.9000|4.7000|910.8000|656.9000|294.9000|2019.2000|1.1000|2019.2000|1761.5000|NA
339129|SAMI-SABINSA GROUP LTD.|20160331|12|IGAAP|5339.1000|35.9000|625.9000|778.0000|94.8000|222.9000|1.9000|222.9000|939.2000|NA
339129|SAMI-SABINSA GROUP LTD.|20170331|12|IGAAP|5801.0000|NA|700.9000|371.7000|NA|123.0000|1.1000|123.0000|NA|NA
339129|SAMI-SABINSA GROUP LTD.|20180331|12|IGAAP|8054.5000|NA|748.5000|455.6000|NA|295.0000|NA|295.0000|NA|NA
339129|SAMI-SABINSA GROUP LTD.|20190331|12|INDAS|9788.7000|NA|1074.6000|471.0000|NA|218.0000|0.2000|218.0000|719.1000|NA
339129|SAMI-SABINSA GROUP LTD.|20200331|12|INDAS|10133.0000|350.4000|1149.2000|504.7000|NA|327.4000|0.1000|327.4000|847.9000|NA
339129|SAMI-SABINSA GROUP LTD.|20210331|12|INDAS|10671.1000|7.4000|880.9000|1781.8000|NA|194.9000|NA|194.9000|1783.3000|NA
339129|SAMI-SABINSA GROUP LTD.|20220331|12|INDAS|10554.2000|99.9000|873.3000|1733.9000|NA|190.6000|0.3000|190.6000|2022.0000|NA
348998|HALDIRAM FOODS INTL. LTD.|20190331|12|INDAS|24372.7000|50.8000|1520.8000|412.0000|NA|2935.6000|NA|2935.6000|2172.4000|NA
348998|HALDIRAM FOODS INTL. LTD.|20200331|12|INDAS|26613.3000|67.9000|1712.0000|NA|NA|2265.2000|19.1000|2265.2000|4466.3000|NA
348998|HALDIRAM FOODS INTL. LTD.|20210331|12|INDAS|28994.2000|38.0000|1612.4000|177.3000|NA|2472.1000|2.1000|2472.1000|3261.5000|NA
348998|HALDIRAM FOODS INTL. LTD.|20220331|12|INDAS|35309.5000|0.7000|1753.3000|892.4000|NA|3336.9000|5.7000|3336.9000|3070.4000|NA
357699|DEL MONTE FOODS PVT. LTD.|20200331|12|INDAS|5656.0000|41.4000|607.6000|177.9000|NA|45.5000|2.0000|45.5000|-156.3000|NA
