ca_finance1_cocode|ca_company_name|ca_finance1_year|ca_ann_rep_months|ca_fs_format|ca_sale_of_goods|ca_export_incentives|ca_salaries_bonus_pf|ca_long_term_borrowings|ca_curr_portion_lt_borrowings|ca_gross_fixed_ast_addn|ca_gross_intangible_assets_tot_addn|ca_gross_fixed_ast_addn|ca_cf_net_frm_op_activity|ca_export_goods
112554|K M SUGAR MILLS LTD.|20170331|12|IGAAP|3242.5000|NA|148.6000|492.5000|213.0000|737.7000|NA|737.7000|146.1000|NA
112554|K M SUGAR MILLS LTD.|20180331|12|INDAS|4475.8000|NA|125.0000|315.3000|96.7000|128.4000|0.4000|128.4000|720.5000|NA
112554|K M SUGAR MILLS LTD.|20190331|12|INDAS|3603.3000|0.1000|145.3000|358.9000|79.5000|766.5000|0.4000|766.5000|63.4000|155.3000
112554|K M SUGAR MILLS LTD.|20200331|12|INDAS|4778.1000|NA|208.0000|441.5000|251.9000|226.9000|NA|226.9000|-31.8000|159.9000
112554|K M SUGAR MILLS LTD.|20210331|12|INDAS|4668.3000|NA|188.2000|405.0000|216.4000|131.3000|NA|131.3000|70.7000|241.5000
112554|K M SUGAR MILLS LTD.|20220331|12|INDAS|5317.9000|NA|186.2000|261.0000|143.7000|160.4000|0.6000|160.4000|53.2000|NA
112554|K M SUGAR MILLS LTD.|20230331|12|INDAS|5579.1000|87.9000|248.8000|502.5000|262.1000|716.4000|0.1000|716.4000|730.5000|NA
113823|KADER INVESTMENT & TRDG. CO. PVT. LTD. [MERGED]|20160331|12|IGAAP|3768.9000|NA|104.7000|101.0000|NA|26.6000|NA|26.6000|-39.2000|NA
113823|KADER INVESTMENT & TRDG. CO. PVT. LTD. [MERGED]|20170331|12|IGAAP|5254.6000|NA|103.6000|147.6000|NA|127.3000|NA|127.3000|247.5000|NA
113823|KADER INVESTMENT & TRDG. CO. PVT. LTD. [MERGED]|20180331|12|IGAAP|5518.3000|NA|137.1000|57.5000|NA|75.6000|NA|75.6000|NA|NA
113823|KADER INVESTMENT & TRDG. CO. PVT. LTD. [MERGED]|20190331|12|IGAAP|5314.1000|NA|127.5000|58.6000|NA|63.7000|NA|63.7000|-42.3000|NA
114421|KALEESUWARI REFINERY PVT. LTD.|20160331|12|IGAAP|32664.3000|NA|580.9000|1349.5000|NA|5757.4000|NA|5757.4000|NA|NA
114421|KALEESUWARI REFINERY PVT. LTD.|20170331|12|INDAS|34511.8000|NA|638.7000|1085.0000|NA|351.1000|NA|351.1000|832.0000|NA
114421|KALEESUWARI REFINERY PVT. LTD.|20180331|12|INDAS|33501.7000|27.3000|762.9000|1159.7000|NA|346.4000|NA|346.4000|676.6000|NA
114421|KALEESUWARI REFINERY PVT. LTD.|20190331|12|INDAS|39712.8000|36.8000|709.8000|1298.9000|NA|300.3000|NA|300.3000|354.7000|NA
114421|KALEESUWARI REFINERY PVT. LTD.|20200331|12|INDAS|39085.6000|173.1000|633.3000|1318.6000|NA|686.9000|NA|686.9000|2536.0000|NA
114421|KALEESUWARI REFINERY PVT. LTD.|20210331|12|INDAS|46606.5000|103.0000|1214.0000|1325.3000|NA|736.8000|36.0000|736.8000|5152.5000|NA
114421|KALEESUWARI REFINERY PVT. LTD.|20220331|12|INDAS|55239.8000|-20.9000|1423.7000|538.7000|NA|980.5000|12.6000|980.5000|3116.9000|NA
115380|KAMATHS OURTIMES ICECREAMS PVT. LTD.|20160331|12|IGAAP|1119.3000|NA|59.0000|33.9000|NA|18.8000|1.3000|18.8000|NA|NA
115380|KAMATHS OURTIMES ICECREAMS PVT. LTD.|20170331|12|IGAAP|1322.4000|NA|77.4000|122.1000|NA|68.1000|1.5000|68.1000|NA|NA
115380|KAMATHS OURTIMES ICECREAMS PVT. LTD.|20180331|12|IGAAP|1427.3000|NA|112.5000|320.4000|NA|505.7000|1.0000|505.7000|86.1000|NA
115380|KAMATHS OURTIMES ICECREAMS PVT. LTD.|20190331|12|IGAAP|1692.9000|NA|130.8000|289.0000|NA|65.5000|1.2000|65.5000|263.4000|NA
115380|KAMATHS OURTIMES ICECREAMS PVT. LTD.|20200331|12|IGAAP|1903.2000|NA|167.3000|260.3000|26.0000|47.6000|0.4000|47.6000|161.0000|NA
115380|KAMATHS OURTIMES ICECREAMS PVT. LTD.|20210331|12|IGAAP|1048.8000|NA|161.9000|227.0000|30.5000|13.2000|NA|13.2000|63.9000|NA
115380|KAMATHS OURTIMES ICECREAMS PVT. LTD.|20220331|12|IGAAP|1968.3000|NA|199.1000|254.6000|26.5000|139.6000|NA|139.6000|185.5000|NA
116294|KANORIA SUGAR & GENERAL MFG. CO. LTD.|20160331|12|IGAAP|1084.6000|NA|64.4000|856.2000|NA|4.9000|NA|4.9000|NA|NA
116294|KANORIA SUGAR & GENERAL MFG. CO. LTD.|20170331|12|IGAAP|1521.6000|NA|67.5000|772.3000|NA|5.9000|NA|5.9000|NA|NA
116294|KANORIA SUGAR & GENERAL MFG. CO. LTD.|20180331|12|IGAAP|1575.0000|NA|85.1000|410.5000|NA|8.7000|NA|8.7000|619.8000|NA
116294|KANORIA SUGAR & GENERAL MFG. CO. LTD.|20190331|12|IGAAP|1811.2000|NA|86.0000|295.0000|NA|10.4000|NA|10.4000|142.4000|NA
116294|KANORIA SUGAR & GENERAL MFG. CO. LTD.|20200331|12|IGAAP|2257.5000|NA|92.7000|376.3000|NA|53.3000|NA|53.3000|-46.9000|NA
116294|KANORIA SUGAR & GENERAL MFG. CO. LTD.|20210331|12|IGAAP|1399.7000|17.3000|90.3000|382.6000|NA|0.3000|NA|0.3000|-171.9000|NA
116294|KANORIA SUGAR & GENERAL MFG. CO. LTD.|20220331|12|IGAAP|981.6000|NA|58.6000|499.2000|NA|1.2000|NA|1.2000|6.1000|NA
117758|ELITECON INTERNATIONAL LTD.|20160331|12|IGAAP|NA|NA|0.7000|NA|NA|NA|NA|NA|-5.1000|NA
118801|GREAT GALLEON VENTURES LTD.|20160331|12|IGAAP|2329.1000|NA|87.5000|12.3000|0.7000|268.8000|0.2000|268.8000|425.5000|NA
118801|GREAT GALLEON VENTURES LTD.|20170331|12|IGAAP|2198.3000|NA|119.6000|12.2000|NA|333.3000|1.4000|333.3000|454.8000|NA
118801|GREAT GALLEON VENTURES LTD.|20180331|12|IGAAP|2198.7000|NA|130.0000|7.5000|NA|56.6000|30.8000|56.6000|256.0000|NA
118801|GREAT GALLEON VENTURES LTD.|20190331|12|IGAAP|2781.7000|NA|155.8000|360.0000|NA|168.4000|9.4000|168.4000|351.1000|NA
118801|GREAT GALLEON VENTURES LTD.|20200331|12|IGAAP|3588.3000|NA|162.1000|200.7000|NA|1186.5000|13.3000|1186.5000|NA|NA
118801|GREAT GALLEON VENTURES LTD.|20210331|12|IGAAP|3368.6000|NA|158.7000|31.5000|NA|52.0000|16.5000|52.0000|NA|NA
118801|GREAT GALLEON VENTURES LTD.|20220331|12|IGAAP|3848.7000|NA|189.2000|8.8000|NA|131.5000|NA|131.5000|NA|NA
119053|KEMIN INDUSTRIES SOUTH ASIA PVT. LTD.|20200331|12|INDAS|4534.8000|NA|687.1000|68.2000|NA|486.2000|NA|486.2000|394.3000|NA
119053|KEMIN INDUSTRIES SOUTH ASIA PVT. LTD.|20210331|12|INDAS|5144.2000|NA|837.4000|101.8000|NA|1426.6000|NA|1426.6000|871.7000|NA
119053|KEMIN INDUSTRIES SOUTH ASIA PVT. LTD.|20220331|12|INDAS|6150.2000|NA|941.6000|50.5000|NA|94.4000|NA|94.4000|759.6000|NA
119579|GLOSTER LTD.|20170331|12|INDAS|4952.0000|122.3000|792.0000|0.0000|16.7000|173.0000|0.4000|173.0000|877.8000|NA
119579|GLOSTER LTD.|20180331|12|INDAS|4524.9000|114.9000|799.2000|12.8000|NA|81.1000|3.6000|81.1000|564.3000|NA
119579|GLOSTER LTD.|20190331|12|INDAS|4911.8000|102.1000|819.0000|17.0000|8.7000|117.3000|0.1000|117.3000|371.0000|NA
119579|GLOSTER LTD.|20200331|12|INDAS|4860.5000|88.5000|850.2000|12.0000|11.8000|529.1000|1.7000|529.1000|85.6000|NA
119579|GLOSTER LTD.|20210331|12|INDAS|4873.9000|56.9000|833.8000|0.0000|11.9000|816.8000|145.4000|816.8000|431.3000|NA
119579|GLOSTER LTD.|20220331|12|INDAS|7296.5000|41.7000|1046.3000|NA|NA|341.3000|0.9000|341.3000|1256.6000|NA
119579|GLOSTER LTD.|20230331|12|INDAS|6979.6000|122.2000|1097.8000|468.6000|NA|184.2000|NA|184.2000|669.3000|NA
11990|ALSA MARINE & HARVESTS LTD.|20160331|12|IGAAP|NA|NA|0.7000|456.6000|NA|NA|NA|NA|NA|NA
11990|ALSA MARINE & HARVESTS LTD.|20170331|12|IGAAP|NA|NA|0.7000|456.6000|NA|NA|NA|NA|-0.7000|NA
11990|ALSA MARINE & HARVESTS LTD.|20180331|12|IGAAP|NA|NA|0.1000|456.8000|NA|NA|NA|NA|-0.4000|NA
11990|ALSA MARINE & HARVESTS LTD.|20190331|12|IGAAP|NA|NA|NA|457.0000|NA|NA|NA|NA|-0.2000|NA
11990|ALSA MARINE & HARVESTS LTD.|20200331|12|IGAAP|NA|NA|NA|457.1000|NA|NA|NA|NA|-0.2000|NA
11990|ALSA MARINE & HARVESTS LTD.|20210331|12|IGAAP|NA|NA|NA|456.9000|NA|NA|NA|NA|-0.2000|NA
11990|ALSA MARINE & HARVESTS LTD.|20220331|12|IGAAP|NA|NA|NA|457.0000|NA|NA|NA|NA|0.1000|NA
11990|ALSA MARINE & HARVESTS LTD.|20230331|12|IGAAP|NA|NA|NA|457.0000|NA|NA|NA|NA|0.2000|NA
120408|KHODAY INDIA LTD.|20160331|12|IGAAP|5207.6000|NA|164.8000|1373.9000|113.4000|30.6000|NA|30.6000|589.7000|1.2000
120408|KHODAY INDIA LTD.|20170331|12|IGAAP|5131.0000|NA|163.6000|2085.7000|25.6000|25.9000|NA|25.9000|111.8000|1.0000
120408|KHODAY INDIA LTD.|20180331|12|IGAAP|4756.8000|NA|164.6000|2216.4000|NA|3.7000|NA|3.7000|-189.0000|NA
120408|KHODAY INDIA LTD.|20190331|12|IGAAP|5721.0000|NA|159.0000|2369.8000|NA|70.4000|NA|70.4000|-300.9000|5.5000
122271|KONKAN AGRO MARINE INDS. PVT. LTD.|20200331|12|IGAAP|721.0000|NA|36.4000|517.2000|NA|23.4000|0.6000|23.4000|NA|NA
