ca_finance1_cocode|ca_company_name|ca_finance1_year|ca_ann_rep_months|ca_fs_format|ca_sale_of_goods
476790|SRESTA NATURAL BIOPRODUCTS PVT. LTD.|20180331|12|IGAAP|2038.2000
476790|SRESTA NATURAL BIOPRODUCTS PVT. LTD.|20190331|12|IGAAP|2219.2000
476790|SRESTA NATURAL BIOPRODUCTS PVT. LTD.|20200331|12|INDAS|2609.2000
476790|SRESTA NATURAL BIOPRODUCTS PVT. LTD.|20210331|12|INDAS|3120.7000
476790|SRESTA NATURAL BIOPRODUCTS PVT. LTD.|20220331|12|INDAS|3265.3000
476790|SRESTA NATURAL BIOPRODUCTS PVT. LTD.|20230331|12|INDAS|3272.7000
488714|ISCON BALAJI FOODS PVT. LTD.|20220331|12|IGAAP|3427.0000
511372|SAHYADRI FARMERS PRODUCER CO. LTD.|20170331|12|IGAAP|2173.5000
511372|SAHYADRI FARMERS PRODUCER CO. LTD.|20180331|12|IGAAP|2756.2000
511372|SAHYADRI FARMERS PRODUCER CO. LTD.|20190331|12|IGAAP|3154.1000
511372|SAHYADRI FARMERS PRODUCER CO. LTD.|20200331|12|IGAAP|3673.6000
511372|SAHYADRI FARMERS PRODUCER CO. LTD.|20210331|12|IGAAP|4300.1000
511372|SAHYADRI FARMERS PRODUCER CO. LTD.|20220331|12|IGAAP|5279.6000
535576|G D FOODS MFG. (INDIA) PVT. LTD.|20170331|12|IGAAP|2641.5000
535576|G D FOODS MFG. (INDIA) PVT. LTD.|20180331|12|IGAAP|2772.2000
535576|G D FOODS MFG. (INDIA) PVT. LTD.|20190331|12|IGAAP|2844.9000
535576|G D FOODS MFG. (INDIA) PVT. LTD.|20200331|12|IGAAP|2785.3000
535576|G D FOODS MFG. (INDIA) PVT. LTD.|20210331|12|IGAAP|2826.6000
54885|DABUR INDIA LTD.|20170331|12|INDAS|76800.7000
54885|DABUR INDIA LTD.|20180331|12|INDAS|76803.1000
54885|DABUR INDIA LTD.|20190331|12|INDAS|84373.0000
54885|DABUR INDIA LTD.|20200331|12|INDAS|86228.7000
54885|DABUR INDIA LTD.|20210331|12|INDAS|95078.1000
54885|DABUR INDIA LTD.|20220331|12|INDAS|108080.3000
54885|DABUR INDIA LTD.|20230331|12|INDAS|114265.1000
59173|DEVI SEA FOODS LTD.|20170331|12|INDAS|12095.9000
59173|DEVI SEA FOODS LTD.|20180331|12|INDAS|15367.2000
59173|DEVI SEA FOODS LTD.|20190331|12|INDAS|20545.8000
59173|DEVI SEA FOODS LTD.|20200331|12|INDAS|21352.8000
59173|DEVI SEA FOODS LTD.|20210331|12|INDAS|20933.1000
59173|DEVI SEA FOODS LTD.|20220331|12|INDAS|29887.6000
74341|FOODS & INNS LTD.|20170331|12|INDAS|3442.6000
74341|FOODS & INNS LTD.|20180331|12|INDAS|3184.2000
74341|FOODS & INNS LTD.|20190331|12|INDAS|3250.5000
74341|FOODS & INNS LTD.|20200331|12|INDAS|3787.7000
74341|FOODS & INNS LTD.|20210331|12|INDAS|3641.6000
74341|FOODS & INNS LTD.|20220331|12|INDAS|6309.8000
74341|FOODS & INNS LTD.|20230331|12|INDAS|9931.2000
77643|GADRE MARINE EXPORT PVT. LTD.|20170331|12|INDAS|7561.8000
77643|GADRE MARINE EXPORT PVT. LTD.|20180331|12|INDAS|9689.6000
77643|GADRE MARINE EXPORT PVT. LTD.|20190331|12|INDAS|9802.7000
77643|GADRE MARINE EXPORT PVT. LTD.|20200331|12|INDAS|8653.0000
77643|GADRE MARINE EXPORT PVT. LTD.|20210331|12|INDAS|9175.2000
77643|GADRE MARINE EXPORT PVT. LTD.|20220331|12|INDAS|13131.2000
77643|GADRE MARINE EXPORT PVT. LTD.|20230331|12|INDAS|13728.0000
783|A D F FOODS LTD.|20170331|12|IGAAP|1420.8000
783|A D F FOODS LTD.|20180331|12|INDAS|2010.2000
783|A D F FOODS LTD.|20190331|12|INDAS|2314.4000
783|A D F FOODS LTD.|20200331|12|INDAS|2728.2000
783|A D F FOODS LTD.|20210331|12|INDAS|3614.4000
783|A D F FOODS LTD.|20220331|12|INDAS|4048.1000
783|A D F FOODS LTD.|20230331|12|INDAS|4441.4000
78632|GANESH GRAINS LTD.|20170331|12|IGAAP|5529.3000
78632|GANESH GRAINS LTD.|20180331|12|IGAAP|5144.9000
78632|GANESH GRAINS LTD.|20190331|12|IGAAP|4765.5000
89485|HALDIRAM SNACKS PVT. LTD.|20170331|12|INDAS|24093.1000
89485|HALDIRAM SNACKS PVT. LTD.|20180331|12|INDAS|25682.3000
89485|HALDIRAM SNACKS PVT. LTD.|20190331|12|INDAS|30399.7000
89485|HALDIRAM SNACKS PVT. LTD.|20200331|12|INDAS|36835.8000
89485|HALDIRAM SNACKS PVT. LTD.|20210331|12|INDAS|38999.6000
89485|HALDIRAM SNACKS PVT. LTD.|20220331|12|INDAS|47769.4000
89485|HALDIRAM SNACKS PVT. LTD.|20230331|12|INDAS|57280.9000
94080|HINDUSTAN UNILEVER LTD.|20170331|12|INDAS|349640.0000
94080|HINDUSTAN UNILEVER LTD.|20180331|12|INDAS|353020.0000
94080|HINDUSTAN UNILEVER LTD.|20190331|12|INDAS|384060.0000
94080|HINDUSTAN UNILEVER LTD.|20200331|12|INDAS|389650.0000
94080|HINDUSTAN UNILEVER LTD.|20210331|12|INDAS|462690.0000
94080|HINDUSTAN UNILEVER LTD.|20220331|12|INDAS|514720.0000
94080|HINDUSTAN UNILEVER LTD.|20230331|12|INDAS|594430.0000
97066|I T C LTD.|20170331|12|INDAS|540862.7000
97066|I T C LTD.|20180331|12|INDAS|429056.3000
97066|I T C LTD.|20190331|12|INDAS|457585.7000
97066|I T C LTD.|20200331|12|INDAS|469500.3000
97066|I T C LTD.|20210331|12|INDAS|498632.9000
97066|I T C LTD.|20220331|12|INDAS|605668.2000
97066|I T C LTD.|20230331|12|INDAS|700170.8000
