sa_finance1_cocode|sa_company_name|sa_finance1_year|sa_ann_rep_months|sa_fs_format|sa_sale_of_goods|sa_export_incentives|sa_salaries_bonus_pf|sa_long_term_borrowings|sa_curr_portion_lt_borrowings|sa_net_fixed_assets|sa_gross_fixed_ast_addn|sa_gross_intangible_assets_tot_addn|sa_gross_fixed_ast_addn|sa_cf_net_frm_op_activity|sa_export_goods
157429|NEKKANTI SEA FOODS LTD.|20230331|12|INDAS|11080.2000|559.1000|269.0000|NA|NA|1893.5000|178.6000|NA|178.6000|4284.8000|10311.5000
157827|NESTLE INDIA LTD.|20151231|12|IGAAP|84304.4000|376.4000|6341.9000|167.9000|NA|28978.5000|1506.3000|NA|1506.3000|10961.6000|6334.4000
157827|NESTLE INDIA LTD.|20161231|12|INDAS|94096.0000|465.2000|7088.8000|331.5000|NA|27301.4000|2021.1000|NA|2021.1000|14663.6000|6557.2000
157827|NESTLE INDIA LTD.|20171231|12|INDAS|101351.1000|395.4000|8988.5000|351.4000|NA|26161.8000|2732.0000|NA|2732.0000|18177.9000|6626.6000
157827|NESTLE INDIA LTD.|20181231|12|INDAS|115508.9000|558.2000|9252.4000|351.4000|NA|24006.2000|1333.6000|NA|1333.6000|20524.5000|7086.9000
157827|NESTLE INDIA LTD.|20191231|12|INDAS|126903.1000|516.4000|10958.4000|1427.4000|NA|23414.5000|5773.8000|NA|5773.8000|22952.5000|6384.8000
157827|NESTLE INDIA LTD.|20201231|12|INDAS|136929.7000|366.5000|9652.0000|974.8000|NA|21794.1000|2155.0000|NA|2155.0000|24544.8000|6473.9000
157827|NESTLE INDIA LTD.|20211231|12|INDAS|151112.3000|443.0000|13434.3000|2177.8000|NA|29946.7000|12153.2000|NA|12153.2000|22360.0000|6395.7000
157827|NESTLE INDIA LTD.|20221231|12|INDAS|173159.5000|654.4000|14853.9000|2173.1000|NA|30437.0000|4929.3000|NA|4929.3000|27374.3000|6919.3000
163543|OM OIL & FLOUR MILLS LTD.|20160331|12|IGAAP|2231.4000|NA|83.6000|153.3000|NA|940.3000|49.2000|NA|49.2000|26.7000|NA
163543|OM OIL & FLOUR MILLS LTD.|20170331|12|IGAAP|2430.8000|NA|89.2000|166.2000|166.5000|980.9000|93.4000|NA|93.4000|264.8000|NA
163543|OM OIL & FLOUR MILLS LTD.|20180331|12|IGAAP|2480.4000|NA|59.5000|162.6000|NA|986.5000|66.2000|NA|66.2000|245.3000|NA
163543|OM OIL & FLOUR MILLS LTD.|20190331|12|IGAAP|2538.6000|NA|130.3000|127.1000|27.7000|991.6000|69.3000|NA|69.3000|17.8000|NA
163543|OM OIL & FLOUR MILLS LTD.|20200331|12|IGAAP|2982.8000|NA|166.9000|84.2000|41.8000|976.2000|50.2000|NA|50.2000|36.3000|NA
163543|OM OIL & FLOUR MILLS LTD.|20210331|12|IGAAP|3040.1000|NA|178.3000|155.5000|54.1000|960.6000|53.7000|NA|53.7000|417.2000|NA
171497|PARLE AGRO PVT. LTD.|20160331|12|INDAS|14021.8000|6.5000|1295.4000|113.5000|117.9000|2394.0000|560.2000|19.6000|560.2000|1485.0000|NA
171497|PARLE AGRO PVT. LTD.|20170331|12|INDAS|16055.0000|9.0000|1417.5000|2376.6000|113.5000|3473.4000|1674.4000|19.9000|1674.4000|746.0000|NA
171497|PARLE AGRO PVT. LTD.|20180331|12|INDAS|18135.0000|19.7000|1621.6000|2656.9000|709.9000|3601.4000|981.0000|14.4000|981.0000|1852.0000|NA
171497|PARLE AGRO PVT. LTD.|20190331|12|INDAS|22075.2000|16.5000|1911.0000|3984.4000|1460.0000|5660.1000|3156.6000|6.2000|3156.6000|2508.2000|NA
171497|PARLE AGRO PVT. LTD.|20200331|12|INDAS|26561.1000|45.3000|2247.7000|5394.8000|1787.1000|8246.4000|4376.2000|4.2000|4376.2000|NA|NA
171497|PARLE AGRO PVT. LTD.|20210331|12|INDAS|23551.9000|6.9000|2531.8000|4587.3000|2362.8000|9165.1000|3211.8000|1.5000|3211.8000|3907.1000|NA
171497|PARLE AGRO PVT. LTD.|20220331|12|INDAS|32167.9000|21.0000|2780.4000|4829.8000|2065.7000|10163.7000|3869.6000|4.9000|3869.6000|4148.5000|NA
171498|PARLE BISCUITS PVT. LTD.|20160331|12|INDAS|70325.2000|2.2000|1550.4000|240.0000|NA|3748.8000|1027.1000|6.8000|1027.1000|3043.3000|104.6000
171498|PARLE BISCUITS PVT. LTD.|20170331|12|INDAS|76742.2000|1.1000|1816.0000|83.3000|NA|3532.7000|585.6000|338.3000|585.6000|-1328.0000|NA
171498|PARLE BISCUITS PVT. LTD.|20180331|12|INDAS|82445.4000|3.0000|2135.7000|43.3000|NA|3407.8000|591.5000|180.9000|591.5000|4416.5000|NA
171498|PARLE BISCUITS PVT. LTD.|20190331|12|INDAS|87389.9000|5.4000|2282.1000|0.6000|NA|3413.9000|642.0000|27.3000|642.0000|975.2000|NA
171498|PARLE BISCUITS PVT. LTD.|20200331|12|INDAS|99092.9000|5.2000|2416.3000|775.6000|NA|5732.8000|3206.9000|43.1000|3206.9000|9035.4000|NA
171498|PARLE BISCUITS PVT. LTD.|20210331|12|INDAS|136355.0000|4.6000|3223.0000|604.3000|NA|5285.2000|609.5000|31.0000|609.5000|10078.8000|NA
171498|PARLE BISCUITS PVT. LTD.|20220331|12|INDAS|144673.6000|26.3000|3334.8000|357.7000|NA|6013.2000|1709.3000|219.7000|1709.3000|-121.8000|NA
171498|PARLE BISCUITS PVT. LTD.|20230331|12|INDAS|145243.3000|188.4000|3340.8000|526.1000|NA|6085.6000|1275.1000|9.7000|1275.1000|6025.1000|NA
176208|PLANT LIPIDS PVT. LTD.|20160331|12|IGAAP|8492.1000|NA|213.6000|7.3000|9.7000|587.0000|184.1000|0.5000|184.1000|-386.4000|6564.5000
176208|PLANT LIPIDS PVT. LTD.|20170331|12|INDAS|9887.5000|147.9000|249.5000|NA|NA|984.2000|519.4000|1.5000|519.4000|-703.4000|7194.8000
176208|PLANT LIPIDS PVT. LTD.|20180331|12|INDAS|9521.9000|209.6000|283.4000|NA|NA|1037.6000|318.3000|0.6000|318.3000|1450.3000|NA
176208|PLANT LIPIDS PVT. LTD.|20190331|12|INDAS|9343.9000|301.1000|293.2000|NA|NA|925.1000|138.3000|NA|138.3000|1781.0000|NA
176208|PLANT LIPIDS PVT. LTD.|20200331|12|INDAS|9927.1000|293.4000|293.3000|0.2000|NA|845.0000|136.0000|0.5000|136.0000|1027.7000|NA
176208|PLANT LIPIDS PVT. LTD.|20210331|12|INDAS|13575.1000|81.3000|313.0000|0.1000|NA|1194.0000|605.5000|0.1000|605.5000|-509.9000|NA
176208|PLANT LIPIDS PVT. LTD.|20220331|12|INDAS|18813.5000|68.3000|385.2000|NA|NA|1503.2000|583.1000|25.6000|583.1000|-2842.2000|NA
210328|SANDHYA MARINES LTD.|20160331|12|IGAAP|3421.5000|NA|60.1000|3.7000|NA|231.6000|NA|NA|NA|NA|NA
