sa_finance1_cocode|sa_company_name|sa_finance1_year|sa_ann_rep_months|sa_fs_format|sa_sale_of_goods|sa_export_incentives|sa_salaries_bonus_pf|sa_long_term_borrowings|sa_curr_portion_lt_borrowings|sa_net_fixed_assets|sa_gross_fixed_ast_addn|sa_gross_intangible_assets_tot_addn|sa_gross_fixed_ast_addn|sa_cf_net_frm_op_activity|sa_export_goods
105635|JAI AGRO INDS. LTD.|20190331|12|IGAAP|0.5000|NA|1.1000|NA|NA|1.1000|NA|NA|NA|NA|NA
105635|JAI AGRO INDS. LTD.|20200331|12|IGAAP|0.2000|NA|0.1000|NA|NA|1.0000|NA|NA|NA|NA|NA
105635|JAI AGRO INDS. LTD.|20210331|12|IGAAP|0.4000|NA|NA|NA|NA|0.8000|NA|NA|NA|57.0000|NA
105635|JAI AGRO INDS. LTD.|20220331|12|IGAAP|NA|NA|NA|NA|NA|0.8000|NA|NA|NA|-268.7000|NA
105635|JAI AGRO INDS. LTD.|20230331|12|IGAAP|0.5000|NA|NA|NA|NA|NA|NA|NA|NA|-2.1000|NA
105681|JAI BEVERAGES PVT. LTD.|20160331|12|IGAAP|1924.6000|NA|113.7000|180.5000|NA|661.6000|141.4000|NA|141.4000|318.9000|NA
105681|JAI BEVERAGES PVT. LTD.|20170331|12|IGAAP|2221.7000|NA|139.7000|93.7000|NA|657.3000|70.9000|0.1000|70.9000|231.7000|NA
105681|JAI BEVERAGES PVT. LTD.|20180331|12|IGAAP|2678.0000|NA|194.7000|152.6000|NA|734.5000|0.1000|NA|0.1000|358.9000|NA
105681|JAI BEVERAGES PVT. LTD.|20190331|12|IGAAP|2907.5000|NA|226.2000|103.8000|NA|1092.3000|464.6000|0.1000|464.6000|224.0000|NA
105681|JAI BEVERAGES PVT. LTD.|20200331|12|IGAAP|3029.0000|NA|236.6000|24.1000|NA|1089.3000|14.7000|NA|14.7000|478.4000|NA
105681|JAI BEVERAGES PVT. LTD.|20210331|12|IGAAP|3433.2000|NA|221.3000|5.3000|NA|1095.7000|111.6000|NA|111.6000|312.1000|NA
105681|JAI BEVERAGES PVT. LTD.|20220331|12|IGAAP|4309.5000|NA|271.7000|19.1000|NA|1629.6000|666.5000|NA|666.5000|570.8000|NA
105857|JAI MATA FOODS LTD.|20160331|12|IGAAP|186.3000|NA|5.1000|11.0000|NA|3.1000|NA|NA|NA|5.6000|NA
105857|JAI MATA FOODS LTD.|20170331|12|IGAAP|39.1000|NA|2.0000|2.9000|NA|0.0000|NA|NA|NA|30.7000|NA
105857|JAI MATA FOODS LTD.|20180331|12|IGAAP|NA|NA|NA|1.3000|NA|0.0000|NA|NA|NA|0.2000|NA
105857|JAI MATA FOODS LTD.|20190331|12|IGAAP|NA|NA|NA|1.2000|NA|0.0000|NA|NA|NA|0.1000|NA
105857|JAI MATA FOODS LTD.|20200331|12|IGAAP|NA|NA|NA|1.2000|NA|0.0000|NA|NA|NA|NA|NA
105857|JAI MATA FOODS LTD.|20210331|12|IGAAP|NA|NA|NA|NA|NA|0.0000|NA|NA|NA|3.1000|NA
105857|JAI MATA FOODS LTD.|20220331|12|IGAAP|NA|NA|NA|NA|NA|0.0000|NA|NA|NA|-0.1000|NA
107011|JALGAON FOOD PRODUCTS PVT. LTD.|20160331|12|IGAAP|120.7000|NA|1.2000|NA|NA|10.1000|NA|NA|NA|-8.5000|NA
107011|JALGAON FOOD PRODUCTS PVT. LTD.|20170331|12|IGAAP|62.0000|NA|1.0000|13.9000|NA|8.7000|NA|NA|NA|-1.7000|NA
107011|JALGAON FOOD PRODUCTS PVT. LTD.|20180331|12|IGAAP|32.6000|NA|0.2000|15.3000|NA|7.7000|NA|NA|NA|7.2000|NA
107011|JALGAON FOOD PRODUCTS PVT. LTD.|20190331|12|IGAAP|59.4000|NA|0.6000|15.3000|NA|6.7000|NA|NA|NA|20.4000|NA
107011|JALGAON FOOD PRODUCTS PVT. LTD.|20200331|12|IGAAP|45.2000|NA|0.5000|15.5000|NA|5.9000|NA|NA|NA|4.6000|NA
107011|JALGAON FOOD PRODUCTS PVT. LTD.|20210331|12|IGAAP|40.1000|NA|0.5000|15.7000|NA|5.7000|NA|NA|NA|-1.6000|NA
107157|JAMKHANDI SUGARS LTD.|20160331|12|IGAAP|4843.9000|NA|157.8000|1621.6000|NA|4967.9000|85.7000|NA|85.7000|570.4000|NA
107157|JAMKHANDI SUGARS LTD.|20170331|12|IGAAP|4128.2000|NA|153.7000|1138.8000|652.5000|4850.7000|64.4000|NA|64.4000|798.5000|NA
