S.No. ,Name of Company ,Category,RTE/ RTC ,F &V ,Marine ,Mozzerrella Cheese ,Innovative ,Organic ,B&M ,Prowess Code,CIN,NIC Code,Year of Incorporation,CMIE Footprint,Name Matching,Comments,Data Issues,Requirement of Segment Wise Analysis
53,Indapur Dairy And Milk Products Ltd.,Category 1, , , ,Mozzerrella Cheese, , , ,398277,U15204PN2001PLC016485,15204,2001,Yes,Exact Match,,Incentive is only for Mozarella cheese for which segment data is not available. ,
54,Indira Food Pvt. Ltd.,Category 3, , , , , , ,B&M,,U15122KA2013PTC070063,15122,2013,No,Exact Match,,,
55,Intergrow Brands Pvt. Ltd.,Category 3, , , , , , ,B&M,,U15500KL2013PTC035116,15500,2013,No,Exact Match,,,
56,Iscon Balaji Foods Pvt. Ltd.,Category 1, ,F&V, , , , , ,488714,U15400GJ2012PTC068764,15400,2012,Yes,Exact Match,,,No
57,ITC Ltd.,Category 1,RTE/RTC,F&V,Marine, , , ,B&M,97066,L16005WB1910PLC001985,16005,1910,Yes,Exact Match,"CIN indicates business as tobacco manufacturing but ITC has diversified into FMCG and food processing. It has brands like Sunfeast, Yippe etc.","FMCG-Other includes food products as well as personal care, home care products",
58,Jude Foods India Pvt. Ltd.,Category 3, , , , , , ,B&M,,U51229KL2003PTC016453,51229,2003,No,Exact Match,Wholesale traders,,
59,Kancor Ingredients Ltd.,Category 1, ,F&V, , , , , ,115914,U51909MH1990PTC240460,51909,1990,Yes,See comments,"Name of co. is ""Mane Kancor Ingredients""- only closely matching name and ;Wholesale traders",They manufacture personal care products including perfumes but the balance sheet does not segment them.,
60,Keventer Agro Ltd.,Category 1, ,F&V, , , , , ,119601,U15419WB1986PLC040729,15419,1986,Yes,Exact Match,,Milk is not seperately segmented but it is not supported under pli,Yes
61,KLA Foods (India) Ltd.,Category 3, , , , , , ,B&M,372130,U15412DL2006PLC171118,15412,2006,Yes,Exact Match,,,
62,KRBL Ltd.,Category 3, , , , , , ,B&M,112888,L01111DL1993PLC052845,1111,1993,Yes,Exact Match,,,
63,LT Foods Ltd.,Category 3, , , , , , ,B&M,125758,L74899DL1990PLC041790,74899,1990,Yes,Exact Match,Other business activity,,
64,Manjilas Food Tech Pvt. Ltd.,Category 3, , , , , , ,B&M,138942,U15499KL1999PTC013100,15499,1999,Yes,Exact Match,,,
65,Marico Ltd.,Category 3, , , , , , ,B&M,140097,L15140MH1988PLC049208,15140,1988,Yes,Exact Match,,,
66,Megaa Moda Pvt. Ltd.,Category 3, , , , , , ,B&M,,U51101WB2009PTC133139,51101,2009,No,Exact Match,Wholesale traders,,
67,Mehrotra Consumer Products Pvt. Ltd.,Category 2, , , , , ,Organic,B&M,,U15122UP2012PTC049728,15122,2012,No,Exact Match,,,
68,Minocha Industries,Category 2, , , , , ,Organic, ,,#N/A,#N/A,#N/A,No,See comments,This the Minchy Brand partnership firm.,,
69,Moon Beverages Ltd.,Category 1, ,F&V, , , , , ,149122,U15549UP1987PLC173892,15549,1987,Yes,Exact Match,,They are the manufacturers for Coca Cola in India for all its products including water which is not under PLI. Only packaging investment and sales will show u in their books,No
70,MTR Foods Pvt. Ltd.,Category 1, ,F&V, , , , , ,133154,U15136KA1996PTC021007,15136,1996,Yes,Exact Match,,,No
71,National Foods,Category 3, , , , , , ,B&M,,#N/A,#N/A,#N/A,No,See comments,We do not know whether this a company or a partnership so it cannot be identifed.,,
72,Nekkanti Sea Foods Ltd.,Category 1, , ,Marine, , , ,B&M,157429,U05005AP1983PLC004128,5005,1983,Yes,Exact Match,,,No
73,Nestle India Ltd.,Category 1, ,F&V, , , , , ,157827,L15202DL1959PLC003786,15202,1959,Yes,Exact Match,,"Nestle sells tea and coffee which are not under PLI, and segment wise data is not available",Yes
74,Nilons Enterprises Pvt. Ltd.,Category 1, ,F&V, , , , , ,,U74999PN1977PTC139541,74999,1977,No,Exact Match,Exact name match is this company but its NIC code indicates that it is in the real estate segment,,
75,NTM Vegiorganic Products Pvt. Ltd.,Category 3, , , , , , ,B&M,,U01400GA2018PTC013541,1400,2018,No,Exact Match,,,
76,Om Oil & Flour Mills Ltd.,Category 1, ,F&V, , , , ,B&M,163543,U15495OR1997PLC004861,15495,1997,Yes,Exact Match,,Tea Sellers,No
77,Organic India Pvt. Ltd.,Category 2, , , , , ,Organic,B&M,362711,U74130DL1997PTC326085,74130,1997,Yes,Exact Match,Market Research and public opinion polling. But I have confirmed that the copany manufactures organic food products from the website and uploaded financial statements.,,
78,Pagariya Food Products Pvt. Ltd.,Category 3, , , , , , ,B&M,533523,U15300KA2009PTC051190,15300,2009,Yes,Exact Match,,,
79,Parag Milk Foods Ltd.,Category 1, , , ,Mozzerrella Cheese, , ,B&M,384085,L15204PN1992PLC070209,15204,1992,Yes,Exact Match,,Incentive is only for Mozarella cheese for which segment data is not available. ,
80,Parle Agro Pvt. Ltd.,Category 1, ,F&V, , , , ,B&M,171497,U15130MH1985PTC038459,15130,1985,Yes,Exact Match,,Water,Yes
81,Parle Biscuits Pvt. Ltd.,Category 1,RTE/RTC, , , , , , ,171498,U15412MH1974PTC017797,15412,1974,Yes,Exact Match,,,No
82,Parvata Foods Pvt. Ltd.,Category 2, , , , , ,Organic, ,,U15122WB2013PTC198715,15122,2013,No,Exact Match,,,
83,Patidar Exports Pvt. Ltd.,Category 3, , , , , , ,B&M,,U51900GJ2011PTC066658,51900,2011,No,Exact Match,Wholesale traders,,
84,Phalada Agro Research Fondations Pvt. Ltd.,Category 2, , , , , ,Organic, ,,U24219KA1999PTC025319,24219,1999,No,Exact Match,"They supply spices, herbs, coconut coffee etc.",,
85,Plant Lipids Pvt. Ltd.,Category 1, ,F&V, , , , , ,176208,U15495KL1979PTC003044,15495,1979,Yes,Exact Match,,"They manufacture a lot of things that are not covered under the scheme - fragrances, food colour etc for which there is no segmentation in their books",
86,Prataap Snacks Ltd.,Category 1,RTE/RTC, , , , , , ,399416,L15311MP2009PLC021746,15311,2009,Yes,Exact Match,,They also manufacture chips and pasta,No
87,Pravin Masalewale,Category 1, ,F&V, , , , ,B&M,47406,L15995PN1982PLC026173,15496,1989,Yes,See comments,Pravin Masalewala is the popular name of the company that runs suhana masala. Name of company is Pravin Foods Ltd.,,
88,Rasna Pvt. Ltd.,Category 3, , , , , , ,B&M,362694,U15499GJ2002PTC040538,15499,2002,Yes,Exact Match,,,
89,Ravi Foods Pvt. Ltd.,Category 3, , , , , , ,B&M,327608,U15412TG1988PTC009309,15412,1988,Yes,Exact Match,,,
90,Regal Kitchen Foods Ltd.,Category 3, , , , , , ,B&M,,U15400DL1995PLC064954,15400,1995,No,Exact Match,,,
91,Royal Dry Fruits Pvt. Ltd.,Category 3, , , , , , ,B&M,,U51101MH2011PTC220314,51101,2011,No,Exact Match,Wholesale traders,,
92,Sahyadri Farmers Producer Company Ltd.,Category 1, ,F&V, , , , , ,511372,U01403MH2010PTC211392,1403,2010,Yes,Exact Match,,Manufacture bioactives and dry fruits that are not icentivised,
93,Sami-Sabinsa Group Ltd.,Category 3, , , , , , ,B&M,339129,U24249KA1991PLC011880,24249,1991,Yes,Exact Match,Fruit and vegetable extracts.,,
94,Sandhya Aqua,Category 1, , ,Marine, , , , ,391246,U15127AP2005PTC047208,15127,2005,Yes,See comments,"The mentioned name is the brand name, the owned company is identified",They run hatcheries and manufacture shrimp feeds that are not incentivised.,
95,Sandhya Marines Ltd.,Category 1, , ,Marine, , , , ,210328,U05004AP1987PLC007578,5004,1987,Yes,Exact Match,,,No
96,Sankalp Recreation Pvt. Ltd.,Category 3, , , , , , ,B&M,,U92219GJ1995PTC028272,92219,1995,No,Exact Match,,,
97,Satvam Nutrifoods Ltd.,Category 3, , , , , , ,B&M,,U15400GJ2014PLC080403,15400,2014,No,Exact Match,,,
98,Shanti Agro Industries,Category 2, , , , , ,Organic, ,,#N/A,#N/A,#N/A,No,See comments,Could not identify.,,
99,Shree Bhagwati Flour & Foods Pvt. Ltd.,Category 3, , , , , , ,B&M,222337,U15319GJ1994PTC021888,15319,1994,Yes,Exact Match,,,
100,Sleepy Owl Coffee Pvt. Ltd.,Category 3, , , , , , ,B&M,,U74999DL2017PTC319841,74999,2017,No,Exact Match,Other business activity,,
101,Sproutlife Foods Pvt. Ltd.,Category 3, , , , , , ,B&M,,U15490KA2015PTC078839,15490,2015,No,Exact Match,,,
